3.05	47	0.50
112.74	1	0.54
31.06	2	0.60
34.06	4	1.08
118.26	53	0.79
31.92	7	0.65
65.64	36	1.36
98.66	1	0.58
97.53	53	0.61
33.17	31	1.16
55.61	2	1.48
36.89	3	0.78
52.38	57	0.61
125.63	47	1.48
37.23	12	1.41
33.73	45	0.81
112.74	53	1.27
114.30	12	0.86
16.98	5	0.88
104.15	50	1.00
8.91	48	1.34
6.01	28	0.99
127.77	3	1.18
105.89	6	0.77
151.79	8	0.86
165.42	4	0.90
72.93	27	1.06
22.38	25	1.37
138.63	8	0.98
160.82	3	0.95
153.05	7	1.22
162.38	58	0.69
105.35	49	0.61
152.71	58	0.87
172.91	6	0.52
95.01	14	0.65
44.11	3	0.52
109.25	12	0.90
171.98	34	1.35
61.40	19	1.21
89.97	10	1.09
86.43	5	0.62
151.34	53	0.70
160.17	30	1.02
16.68	10	1.24
88.98	44	1.32
66.90	43	0.70
120.20	10	1.39
128.22	38	0.64
46.55	4	1.43
116.57	59	0.87
116.49	19	0.75
139.05	27	1.36
22.02	28	1.28
164.42	30	1.40
90.29	51	1.01
67.08	31	1.38
107.55	4	1.32
109.27	58	1.21
97.37	19	0.86
142.30	52	0.63
27.56	7	0.98
112.86	52	0.72
138.05	16	0.87
52.46	5	0.68
146.66	12	1.28
62.60	28	1.21
146.55	7	1.30
142.04	4	1.29
34.61	60	1.23
20.37	55	1.26
19.44	5	0.55
56.88	50	1.28
123.66	37	0.97
7.68	58	1.07
165.83	12	1.05
172.77	22	0.65
120.44	33	1.37
46.73	53	1.08
170.84	53	0.73
121.02	59	1.32
54.38	10	1.26
111.09	1	1.43
85.13	5	0.91
3.38	10	0.86
108.75	13	0.92
33.52	57	1.11
168.41	51	0.63
50.34	24	1.42
17.25	18	0.97
67.68	8	0.82
136.04	16	1.49
9.93	46	1.04
143.14	34	1.42
162.08	26	0.59
26.11	26	0.62
1.22	20	1.19
90.75	46	0.61
128.58	58	0.85
118.63	2	1.25
114.93	39	0.67
155.78	56	0.83
130.48	37	1.11
146.39	46	0.69
155.43	53	0.53
61.53	11	1.21
19.94	55	1.04
126.07	1	1.19
116.27	46	0.79
114.63	19	0.77
150.98	6	0.64
93.12	17	1.39
137.05	2	0.54
68.93	1	1.07
35.63	26	1.06
111.07	58	0.68
116.78	43	0.58
5.99	44	0.56
167.25	57	0.77
2.87	2	0.99
27.24	30	0.71
96.91	1	1.07
169.20	10	1.31
48.77	60	0.64
112.89	2	0.72
29.88	1	0.68
121.63	5	1.36
44.91	10	0.85
64.80	10	0.72
83.32	4	1.03
22.41	46	1.23
124.88	37	0.93
18.89	44	0.79
165.02	8	1.48
87.47	6	0.81
37.50	55	1.00
161.09	4	1.22
47.21	27	1.07
11.49	7	1.03
166.16	56	0.52
35.82	8	0.80
30.75	53	1.50
152.19	30	0.51
61.15	39	1.02
149.69	7	0.86
37.90	10	0.96
33.36	19	0.82
63.07	1	1.42
140.04	49	1.36
141.68	56	1.16
87.42	3	1.33
129.57	7	1.24
140.96	8	1.42
148.61	33	0.66
21.21	6	1.28
88.48	55	1.47
134.63	2	1.37
171.26	44	0.77
116.75	20	1.29
52.06	2	1.02
9.92	33	0.50
80.09	48	0.96
150.38	26	0.91
75.87	8	1.02
46.04	32	1.14
100.85	42	1.23
101.04	54	0.76
74.58	50	0.92
66.51	5	1.38
79.10	26	0.91
18.59	40	0.70
98.01	9	0.83
92.22	44	0.63
76.98	12	1.00
2.67	47	1.38
37.56	11	1.28
96.20	1	1.03
95.06	2	0.91
166.41	37	1.10
165.73	1	1.50
126.72	51	0.52
143.39	20	1.43
68.07	38	0.57
50.67	18	1.12
99.18	12	0.92
34.77	54	0.63
136.79	25	1.25
9.68	31	1.26
107.79	3	1.43
162.30	6	1.29
137.66	9	1.46
61.43	19	0.75
149.73	6	1.12
15.80	28	0.69
8.45	56	1.18
0.91	59	1.31
74.64	1	1.05
146.28	40	0.58
19.10	58	1.28
103.48	53	0.60
143.87	32	1.45
148.25	16	1.30
83.48	47	0.90
78.09	37	1.37
169.86	36	1.50
15.96	10	0.76
75.05	13	1.00
160.53	23	0.73
39.00	13	0.94
30.56	9	1.14
148.05	59	0.50
24.75	56	1.38
123.86	4	1.24
49.23	26	0.61
127.29	8	0.54
61.53	8	0.75
59.04	8	0.64
169.62	6	0.70
25.43	21	0.97
68.57	12	0.91
13.11	55	0.60
57.96	9	1.14
103.23	59	1.36
139.88	44	0.67
64.08	32	0.83
14.13	2	0.73
166.28	50	1.29
115.57	35	1.47
46.53	5	1.14
93.35	14	0.91
163.34	26	1.11
29.91	6	0.83
124.82	9	0.97
7.07	28	1.15
115.57	41	1.32
133.21	2	0.78
57.57	30	0.97
157.94	11	1.05
96.84	10	1.40
18.73	27	1.41
124.14	41	1.08
58.92	10	1.41
45.29	50	1.36
9.76	11	0.66
172.11	49	1.43
53.23	3	1.05
3.26	9	1.49
100.08	35	0.82
59.84	56	0.61
82.46	9	1.41
73.47	24	0.99
